file,dialog_count,average_of_average_similarity,normalized_score
news_based_12_turns_Diversity-awareSelection_result.json,600,0.3741975152450864,68.70987576225431
news_based_12_turns_GreedySelection_result.json,600,0.3742479267289284,68.71239633644642
news_based_12_turns_Random_result.json,600,0.37295224508485136,68.64761225424256
news_based_18_turns_Diversity-awareSelection_result.json,600,0.37448078851043276,68.72403942552164
news_based_18_turns_GreedySelection_result.json,600,0.3748159828228458,68.74079914114229
news_based_18_turns_Random_result.json,600,0.3728677382295097,68.64338691147549
news_based_6_turns_Diversity-awareSelection_result.json,594,0.3696947525572097,68.48473762786048
news_based_6_turns_GreedySelection_result.json,594,0.3698472268156096,68.49236134078048
news_based_6_turns_Random_result.json,584,0.3678572413915572,68.39286206957786
role_based_12_turns_Diversity-awareSelection_result.json,353,0.36028319140910975,68.01415957045549
role_based_12_turns_GreedySelection_result.json,353,0.360590465656526,68.0295232828263
role_based_12_turns_Random_result.json,353,0.35704326939491565,67.85216346974579
role_based_18_turns_Diversity-awareSelection_result.json,348,0.3604920608536072,68.02460304268037
role_based_18_turns_GreedySelection_result.json,348,0.36054192151727926,68.02709607586397
role_based_18_turns_Random_result.json,348,0.3576134793314178,67.8806739665709
role_based_6_turns_Diversity-awareSelection_result.json,440,0.36120071703737416,68.0600358518687
role_based_6_turns_GreedySelection_result.json,440,0.3620025608349929,68.10012804174964
role_based_6_turns_Random_result.json,431,0.3578449749188282,67.8922487459414
